ID,Name,Current Own%
465,Lis,0.3
466,Lumley,0.3
467,Manning,0.1
468,Mara,0.1
469,McCarthy,0.2
470,Onuachu,0.1
471,Smallbone,0.1
472,Stephens,0.3
473,Stewart,1.3
474,Sugawara,0.2
475,Taylor,5.9
476,Walker-Peters,0.5
477,Wood,1.2
518,Downes,0.1
584,Brereton Díaz,0.8
608,Dibling,0.0
82,Solanke,27.8
478,A.Phillips,0.5
479,Austin,0.4
480,Bentancur,0.2
481,Bergvall,0.9
482,Bissouma,0.2
483,Bryan,0.0
484,Davies,0.2
485,Devine,0.1
486,Dragusin,0.3
487,E.Royal,0.1
488,Forster,0.3
489,Gray,0.3
490,Højbjerg,0.0
491,Johnson,0.9
492,Kulusevski,2.6
493,Lo Celso,0.1
494,Maddison,4.5
495,Pedro Porro,34.1
496,Reguilón,0.3
497,Richarlison,1.1
498,Romero,4.9
499,P.Sarr,0.3
500,Scarlett,0.4
501,Skipp,0.0
502,Solomon,0.1
503,Son,10.2
504,Spence,0.1
505,Udogie,4.1
506,Van de Ven,7.0
507,Veliz,0.0
508,Vicario,4.3
509,Werner,0.3
510,Whiteman,1.4
609,Lankshear,0.0
610,Moore,0.0
388,Wan-Bissaka,1.7
511,Álvarez,0.2
512,Antonio,1.3
513,Areola,10.5
514,Bowen,7.5
515,Cornet,0.0
516,Coufal,0.9
517,Cresswell,2.4
519,Earthy,0.2
520,Emerson,0.7
521,Fabianski,12.7
522,Foderingham,0.2
523,Ings,0.9
524,Kilman,0.9
525,Kudus,9.1
526,L.Guilherme,0.0
527,L.Paquetá,1.6
528,Mavropanos,0.1
529,N.Aguerd,0.2
530,Souček,2.4
531,Ward-Prowse,1.9
532,Zouma,0.6
576,Irving,0.0
587,Summerville,1.1
588,G.Rodríguez,0.1
589,Füllkrug,4.0
591,Todibo,0.4
533,Aït-Nouri,2.6
534,B.Traore,0.1
535,Bellegarde,0.0
536,Bentley,2.0
537,Chiquinho,0.2
538,Chirewa,0.1
539,Chiwome,0.2
540,Cundle,0.1
541,Cunha,2.5
542,Dawson,0.2
543,Doherty,0.2
544,Doyle,0.1
545,Fábio Silva,0.3
546,Fraser,5.5
547,Gonzalez,0.0
548,Guedes,0.1
549,H.Bueno,0.1
550,Hee Chan,1.1
551,Hodge,0.5
552,Hoever,0.3
553,J.Gomes,0.1
554,José Sá,2.5
555,Kalajdžić,0.1
556,King,1.1
557,Mario Jr.,0.2
558,Mosquera,0.5
559,N.Semedo,0.0
561,Pedro Lima,1.4
562,Podence,0.1
563,R.Gomes,0.2
564,S.Bueno,0.1
565,Sarabia,0.3
566,Strand Larsen,0.2
567,Toti,0.3
